Rodada,GS1T,GF1T,GS2T,GF2T,Casa,PosseFla,FinaTotal,CAFla,CVFla,FinaAdvTotal,CAAdv,CVAdv
24-LI-QUA2,0,0,0,0,0,76,3,1,0,2,0,0
23-LI-J1,0,1,2,0,0,67,7,2,0,6,1,0
23-LI-J2,0,2,0,0,1,61,9,0,0,2,0,0
23-LI-J3,0,1,1,0,0,66,7,2,0,5,3,1
23-LI-J4,0,1,1,0,0,65,2,0,0,5,1,0
23-LI-J5,0,1,1,1,1,66,3,0,0,1,1,0
23-LI-J6,0,3,0,1,1,69,15,0,0,2,0,0
23-LI-OIT1,0,0,0,1,1,74,7,2,0,3,3,0
23-LI-OIT2,1,1,2,0,0,53,1,0,0,8,1,0
22-LI-J1,0,1,0,1,0,54,4,1,0,3,1,0
22-LI-J2,1,2,0,1,1,57,5,1,0,4,0,0
22-LI-J3,1,2,1,1,0,48,8,0,0,5,1,0
22-LI-J4,1,0,1,2,0,59,0,3,0,4,2,0
22-LI-J5,0,2,0,1,1,46,13,2,0,2,2,0
22-LI-J6,0,1,1,1,1,60,11,1,0,3,1,0
22-LI-OIT1,0,1,0,0,0,57,4,1,0,10,0,0
22-LI-OIT2,0,2,1,5,1,52,7,0,0,3,0,0
22-LI-QUA1,0,1,0,1,0,55,4,2,0,5,1,0
22-LI-QUA2,0,0,0,1,1,58,3,1,0,6,0,0
22-LI-SEM1,0,2,0,2,0,64,5,1,0,4,0,0
22-LI-SEM2,1,1,0,1,1,53,10,0,0,6,0,0
22-LI-FI,0,1,0,0,1,69,5,0,0,6,3,1
21-LI-J1,1,1,1,2,0,57,5,0,0,6,2,0
21-LI-J2,0,2,1,2,1,61,8,0,0,1,0,0
21-LI-J3,0,2,2,1,0,55,4,0,0,3,3,0
21-LI-J4,2,1,0,1,0,66,8,0,0,3,2,0
21-LI-J5,1,1,1,1,1,58,5,0,1,3,1,0
21-LI-J6,0,0,0,0,1,48,6,2,0,5,0,0
21-LI-OIT1,0,1,0,0,0,50,2,2,0,6,1,0
21-LI-OIT2,1,1,0,3,1,71,7,1,0,4,2,0
21-LI-QUA1,1,2,0,2,0,60,7,2,0,7,3,0
21-LI-QUA2,1,2,0,3,1,57,2,0,0,1,0,0
21-LI-SEM1,0,2,0,0,1,66,9,0,0,7,2,1
21-LI-SEM2,0,1,0,1,0,52,5,1,0,8,0,0
21-LI-FI,1,0,0,1,0,65,5,0,0,4,0,0
20-LI-J1,0,1,1,1,0,61,5,2,0,5,1,0
20-LI-J2,0,2,0,1,1,73,9,1,0,1,2,0
20-LI-J3,1,0,4,0,0,41,1,0,0,10,0,0
20-LI-J4,0,2,1,0,0,58,6,0,0,8,2,0
20-LI-J5,0,2,0,2,1,33,7,0,0,12,1,0
20-LI-J6,0,2,1,1,1,64,10,0,0,4,0,0
19-LI-J1,0,0,0,1,0,45,5,1,0,1,0,0
19-LI-J2,0,1,1,2,1,70,7,0,0,2,1,0
19-LI-J3,0,0,1,0,1,61,5,1,0,2,0,0
19-LI-J4,1,2,0,4,1,69,16,0,0,4,0,1
19-LI-J5,1,1,1,0,0,46,3,1,0,9,1,0
19-LI-J6,0,0,0,0,0,58,4,0,0,6,0,0
19-LI-OIT1,1,0,1,0,0,69,8,1,0,4,1,0
19-LI-OIT2,0,2,0,0,1,69,11,1,0,3,2,0
19-LI-QUA1,0,0,0,2,1,66,6,0,0,3,0,0
19-LI-QUA2,0,0,1,1,0,49,9,2,0,6,2,0
19-LI-SEM1,0,1,0,4,1,64,10,1,0,2,2,0
19-LI-SEM2,0,0,1,1,0,68,4,1,0,3,2,0
19-LI-FI,1,0,0,2,0,59,1,0,0,3,2,0
20-LI-OIT1,1,1,0,0,0,60,3,0,0,7,1,0
20-LI-OIT2,0,0,1,1,1,62,10,1,0,2,0,0
24-CB-R1,0,0,0,1,0,57,10,1,0,4,0,0
24-CB-R2,0,1,0,0,1,68,7,1,0,3,0,0
24-CB-OIT1,0,0,0,2,1,74,11,1,0,1,2,0
24-CB-OIT2,1,0,0,0,0,43,3,1,0,14,0,0
24-CB-QUA1,0,0,0,1,0,37,3,0,0,10,0,0
24-CB-QUA2,0,0,0,1,1,47,6,0,0,4,0,0
24-CB-SEM1,0,1,0,0,1,59,10,1,0,2,1,0
24-CB-SEM2,0,0,0,0,0,46,2,2,1,4,1,0
24-CB-FI1,0,2,1,1,1,50,8,0,0,4,0,0
24-CB-FI2,0,0,0,1,0,31,6,1,0,9,1,0
23-CB-R1,1,0,1,0,0,60,7,0,0,7,2,0
23-CB-R2,1,4,1,4,1,67,12,2,0,3,3,0
23-CB-OIT1,0,0,0,0,0,49,7,0,0,3,0,0
23-CB-OIT2,0,1,0,1,1,30,4,2,0,4,2,0
23-CB-QUA1,1,0,0,2,1,82,6,0,0,2,1,0
23-CB-QUA2,0,1,0,1,0,54,2,1,0,12,1,0
23-CB-SEM1,0,1,0,1,0,66,7,2,0,5,1,0
23-CB-SEM2,0,0,0,1,1,60,4,2,0,6,1,0
23-CB-FI1,1,0,0,0,1,39,0,2,0,4,1,0
23-CB-FI2,1,1,0,0,0,46,5,1,0,5,3,0
22-CB-R1,0,0,1,2,0,62,9,0,0,2,1,0
22-CB-R2,0,0,0,2,1,69,5,1,0,2,1,0
22-CB-OIT1,1,0,1,1,0,61,8,3,0,2,1,0
22-CB-OIT2,0,1,0,1,1,56,12,1,0,3,1,0
